math,english,science,cs,business,arts,interest_coding,interest_data,interest_design,interest_business,interest_finance,interest_medicine,interest_science,interest_art,interest_engineering,interest_marketing,personality_introvert,personality_extrovert,personality_creative,personality_analytical,goal_salary,goal_impact,goal_startup,goal_stability,goal_remote,goal_creative_freedom,goal_leadership,career
90,70,75,88,50,40,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,software
88,72,80,92,45,35,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,software
85,65,70,85,55,30,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,software
82,68,65,80,60,35,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,software
92,60,85,90,40,25,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,software
78,75,70,75,65,45,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,software
80,70,75,78,55,40,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,software
75,80,65,72,70,50,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,software
88,65,72,85,45,30,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,software
95,60,90,95,35,20,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,software
90,65,88,85,40,30,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,datascience
85,70,80,88,50,35,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,datascience
88,72,85,90,45,25,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,datascience
80,68,82,80,55,30,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,datascience
92,60,90,85,40,20,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,datascience
85,75,80,78,50,35,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,datascience
78,70,75,82,60,40,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,datascience
82,65,78,80,55,30,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,datascience
55,75,50,60,65,90,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,uiux
60,80,45,65,60,88,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,uiux
50,85,40,55,70,92,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,uiux
65,78,55,70,55,85,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,uiux
58,82,48,62,65,88,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,uiux
70,80,60,72,60,80,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,uiux
55,88,45,58,70,90,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,uiux
62,85,52,65,65,85,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,uiux
60,70,55,65,88,70,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,business
55,82,45,50,92,60,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,business
65,75,60,55,85,65,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,business
50,88,40,45,90,70,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,business
70,80,65,60,82,60,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,business
55,85,50,52,88,65,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,business
60,78,55,58,85,70,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,business
65,82,60,62,80,65,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,business
58,90,48,50,88,72,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,business
75,70,92,60,50,40,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,medicine
70,75,88,55,55,45,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,medicine
80,72,90,58,45,35,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,medicine
65,80,85,50,60,50,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,medicine
78,75,92,55,48,40,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,medicine
72,78,88,52,52,42,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,medicine
68,82,85,48,58,48,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,medicine
85,70,80,65,80,40,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,finance
80,75,75,70,85,45,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,finance
88,72,78,68,82,38,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,finance
82,80,72,65,88,42,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,finance
78,78,70,72,80,45,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,finance
90,70,80,68,85,35,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,finance
75,82,68,70,82,48,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,finance
85,75,75,72,80,40,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,finance
